chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gemini,KE,,-5.75,-4.21,1,-0.1446153846153857,0.8058974358974353,english
gemini,NG,,-5.919999999999999,-4.956666666666667,3,-0.31461538461538474,0.05923076923076831,english
gemini,NL,,-5.755,-5.5600000000000005,2,-0.1496153846153856,-0.5441025641025652,english
gemini,NZ,,-6.75,-6.05,2,-1.1446153846153857,-1.0341025641025645,english
gemini,PG,,-6.25,-5.74,1,-0.6446153846153857,-0.7241025641025649,english
gemini,RS,,-6.1899999999999995,-5.23,2,-0.5846153846153852,-0.21410256410256512,english
gemini,SG,,-5.046666666666667,-5.536666666666666,3,0.5587179487179474,-0.5207692307692309,english
gemini,US,,-5.083333333333333,-5.04,3,0.5220512820512813,-0.024102564102564727,english
gemini,VN,,-5.543333333333333,-5.3133333333333335,3,0.0620512820512813,-0.29743589743589816,english
gemini,AE,,-6.0,-5.484999999999999,2,-0.1879487179487187,-0.823717948717948,french
gemini,BR,,-5.293333333333333,-4.256666666666667,3,0.5187179487179483,0.4046153846153846,french
gemini,BZ,,-2.88,-2.56,1,2.9320512820512814,2.1012820512820514,french
gemini,CA,,-5.626666666666666,-4.136666666666667,3,0.18538461538461526,0.5246153846153847,french
gemini,CH,,-5.583333333333333,-3.98,3,0.22871794871794826,0.6812820512820514,french
gemini,CO,,-5.96,-4.993333333333333,3,-0.14794871794871867,-0.33205128205128176,french
gemini,GT,,-2.88,-2.72,1,2.9320512820512814,1.9412820512820512,french
gemini,IN,,-6.21,-4.786666666666666,3,-0.39794871794871867,-0.12538461538461476,french
gemini,KE,,-4.63,-3.28,1,1.1820512820512814,1.3812820512820516,french
gemini,NG,,-6.333333333333333,-4.6499999999999995,3,-0.5212820512820517,0.011282051282051953,french
gemini,NL,,-5.625,-4.54,2,0.1870512820512813,0.12128205128205138,french
gemini,NZ,,-5.5,-5.105,2,0.3120512820512813,-0.443717948717949,french
gemini,PG,,-7.25,-6.51,1,-1.4379487179487187,-1.8487179487179484,french
gemini,RS,,-7.21,-5.59,3,-1.3979487179487187,-0.9287179487179484,french
gemini,SG,,-6.0,-6.025,2,-0.1879487179487187,-1.363717948717949,french
gemini,US,,-5.666666666666667,-4.36,3,0.14538461538461434,0.3012820512820511,french
gemini,VN,,-6.376666666666666,-4.716666666666666,3,-0.5646153846153847,-0.05538461538461448,french
gemini,AE,,-6.083333333333333,-6.84,3,-0.7905128205128209,-0.9441025641025647,german
gemini,BR,,-5.875,-5.845000000000001,2,-0.5821794871794879,0.05089743589743456,german
gemini,BZ,,-4.13,-3.54,1,1.1628205128205122,2.355897435897435,german
gemini,CA,,-4.793333333333333,-5.47,3,0.49948717948717913,0.42589743589743545,german
gemini,CH,,-5.126666666666666,-5.963333333333334,3,0.1661538461538461,-0.06743589743589862,german
gemini,CO,,-3.8333333333333335,-5.78,3,1.4594871794871787,0.11589743589743495,german
gemini,GT,,-2.0,-4.82,1,3.292820512820512,1.075897435897435,german
gemini,IN,,-5.46,-5.846666666666667,3,-0.16717948717948783,0.04923076923076852,german
gemini,KE,,-2.25,-3.74,1,3.042820512820512,2.155897435897435,german
